station_id,file,size_bytes,size_human,present
02120599999,02120599999.csv,2049847,1.95 MiB,True
02121099999,02121099999.csv,348060,339.90 KiB,True
02124099999,02124099999.csv,2053759,1.96 MiB,True
02126099999,02126099999.csv,654,654.00 B,True
02135099999,02135099999.csv,380847,371.92 KiB,True
02141099999,02141099999.csv,366288,357.70 KiB,True
02147099999,02147099999.csv,282337,275.72 KiB,True
02149099999,02149099999.csv,411147,401.51 KiB,True
02151099999,02151099999.csv,1803760,1.72 MiB,True
02154099999,02154099999.csv,6770273,6.46 MiB,True
02161099999,02161099999.csv,360508,352.06 KiB,True
02171099999,02171099999.csv,352290,344.03 KiB,True
02173099999,02173099999.csv,321297,313.77 KiB,True
02174099999,02174099999.csv,412993,403.31 KiB,True
02176099999,02176099999.csv,368894,360.25 KiB,True
02181099999,02181099999.csv,404842,395.35 KiB,True
02183099999,02183099999.csv,1031702,1007.52 KiB,True
02184099999,02184099999.csv,343029,334.99 KiB,True
02186099999,02186099999.csv,7831883,7.47 MiB,True
02188099999,02188099999.csv,335939,328.07 KiB,True
02191099999,02191099999.csv,397116,387.81 KiB,True
02197099999,02197099999.csv,1941254,1.85 MiB,True
02199099999,02199099999.csv,365609,357.04 KiB,True
02205099999,02205099999.csv,1047491,1022.94 KiB,True
02207099999,02207099999.csv,2170153,2.07 MiB,True
02209099999,02209099999.csv,239867,234.25 KiB,True
02210099999,02210099999.csv,223607,218.37 KiB,True
02219099999,02219099999.csv,1582539,1.51 MiB,True
02221099999,02221099999.csv,277020,270.53 KiB,True
02226099999,02226099999.csv,7753931,7.39 MiB,True
02229099999,02229099999.csv,1052754,1.00 MiB,True
02230099999,02230099999.csv,284874,278.20 KiB,True
02231099999,02231099999.csv,373333,364.58 KiB,True
02236099999,02236099999.csv,403366,393.91 KiB,True
02242099999,02242099999.csv,286229,279.52 KiB,True
02243099999,02243099999.csv,1561857,1.49 MiB,True
02245099999,02245099999.csv,339340,331.39 KiB,True
02245599999,02245599999.csv,6104362,5.82 MiB,True
02247099999,02247099999.csv,398175,388.84 KiB,True
02254099999,02254099999.csv,416054,406.30 KiB,True
02259099999,02259099999.csv,6293524,6.00 MiB,True
02260099999,02260099999.csv,341527,333.52 KiB,True
02261099999,02261099999.csv,339467,331.51 KiB,True
