lead,corruption,severity,type_acc,type_conf,type_entropy,loc_iou,router_moisture,router_hydrostatic,router_advection,router_spectral
24,advection,0.25,0.0,0.9691359996795654,0.1039675623178482,0.0021054535172879696,1.6106588418551837e-07,0.9999998211860657,2.817561925417232e-16,5.675257356077545e-13
24,advection,0.5,0.0,0.9695966243743896,0.10271294414997101,0.00025879047461785376,1.5931192365314928e-07,0.9999998211860657,2.904633736021422e-16,5.791109779218484e-13
24,advection,1.0,0.0,0.9694353938102722,0.10311144590377808,0.0017709280364215374,1.598496339738631e-07,0.9999998211860657,2.864497079815777e-16,5.735215904620339e-13
24,advection,2.0,0.0,0.9692301750183105,0.10370797663927078,0.0064048017375171185,1.6203225072786154e-07,0.9999998211860657,2.827153779451499e-16,5.693006829843306e-13
24,spectral,0.25,0.0,0.9695178866386414,0.10294228792190552,0.0012140213511884212,1.5953168031046516e-07,0.9999998211860657,2.914370909145702e-16,5.7970316914846e-13
24,spectral,0.5,0.0,0.9695137739181519,0.10295359790325165,0.0010834450367838144,1.5953168031046516e-07,0.9999998211860657,2.914370909145702e-16,5.7970316914846e-13
24,spectral,1.0,0.0,0.9695144891738892,0.10295215249061584,0.002496864181011915,1.5953168031046516e-07,0.9999998211860657,2.914370909145702e-16,5.7970316914846e-13
24,spectral,2.0,0.0,0.9695148468017578,0.1029510498046875,0.0018822158453986049,1.5953168031046516e-07,0.9999998211860657,2.914370909145702e-16,5.7970316914846e-13
24,range_extreme,0.25,1.0,0.9695448279380798,0.1028747409582138,0.0038680140860378742,1.593398906152288e-07,0.9999998211860657,2.9034852122845043e-16,5.791606343813482e-13
24,range_extreme,0.5,1.0,0.9697086811065674,0.10245485603809357,0.0066861556842923164,1.573386754216699e-07,0.9999998211860657,2.8706171575574853e-16,5.720472381377795e-13
24,range_extreme,1.0,1.0,0.9700982570648193,0.10140681266784668,0.021753206849098206,1.5167444189501111e-07,0.9999998211860657,2.793978145885508e-16,5.57584252207366e-13
24,range_extreme,2.0,1.0,0.9720621109008789,0.09586738049983978,0.10867014527320862,1.29069348986377e-07,0.9999998807907104,2.268486581645025e-16,4.603466587961569e-13
