model,lead_hours,corruption,severity,channel_index,channel,repaired_nrmse,corrupted_input_nrmse,repaired_nmae,corrupted_input_nmae,repaired_acc,corrupted_input_acc,repaired_rmse_phys,corrupted_input_rmse_phys
OLD_Full,6,moisture,0.25,30,specific_humidity@250hPa,0.3809831528647657,0.5415101237005419,0.2388687098538853,0.34038472089278515,0.9506987318537985,0.8994880355093516,2.7569766658384678e-05,3.9186264977438246e-05
OLD_Full,6,moisture,0.25,31,specific_humidity@300hPa,0.36984835198300414,0.5703832298959042,0.23667046455103732,0.36835695159322046,0.9548761969691829,0.8898463553510332,6.062972542086617e-05,9.350367648009072e-05
OLD_Full,6,moisture,0.25,32,specific_humidity@400hPa,0.34409098478294775,0.5733673266052671,0.2273810551087404,0.37810829936277573,0.9628247638663883,0.8930674721289402,0.00017074895647569715,0.0002845232204517642
OLD_Full,6,moisture,0.25,33,specific_humidity@500hPa,0.3075253893704659,0.5143287457582633,0.2102453923353047,0.34478490018701785,0.9686163520272865,0.9098118945725837,0.0003251274057919714,0.0005437676930842884
OLD_Full,6,moisture,0.25,34,specific_humidity@600hPa,0.2746432714674426,0.46144498049743293,0.1945793590044749,0.32126481001789214,0.9727014016814335,0.9210880193314657,0.00047769056317963077,0.0008025971710115306
OLD_Full,6,moisture,0.25,35,specific_humidity@700hPa,0.25531278110966205,0.4238894322538472,0.18274259718828717,0.30402642326116286,0.9753135313331486,0.9304679045450819,0.0006410207610958797,0.0010642707596496214
OLD_Full,6,moisture,0.25,36,specific_humidity@850hPa,0.22084612672706347,0.3297162600786639,0.16091996291602947,0.23779697937690195,0.9794565817626346,0.9530374351420914,0.0008992634828383716,0.0013425718503116985
OLD_Full,6,moisture,0.25,37,specific_humidity@925hPa,0.17413786499267275,0.22451413766572376,0.12226915201711339,0.15713831809651954,0.9861974917953156,0.9771819341787926,0.0008805529905909461,0.00113528778134421
OLD_Full,6,moisture,0.25,38,specific_humidity@1000hPa,0.14158310583907355,0.20618482483870335,0.1031455457954011,0.14761783961635508,0.9909357496188489,0.9803975721203242,0.0008362432646658736,0.001217805379607439
OLD_Full,6,moisture,0.25,39,u_component_of_wind@50hPa,0.16187182170510214,0.30000180660856085,0.12722037743406836,0.22559765410062316,0.9893031557454641,0.9641623103627281,2.4272633166188275,4.498518513165969
OLD_Full,6,moisture,0.25,40,u_component_of_wind@100hPa,0.1924984662628265,0.3419038973533664,0.1489068431697473,0.25400084213957785,0.9860652592169737,0.9559826652701802,2.571594915734125,4.567508327631041
OLD_Full,6,moisture,0.25,41,u_component_of_wind@150hPa,0.18603389701136122,0.29935161822851347,0.14273589362940853,0.22537862989590174,0.9859024618099423,0.965692259961297,2.9668469683770677,4.774025058148507
OLD_Full,6,moisture,0.25,42,u_component_of_wind@200hPa,0.19351185650365746,0.25395759863981265,0.14668384903063397,0.19471614676133148,0.9840254815178175,0.973342693665933,3.4090143970600257,4.4738605297527
OLD_Full,6,moisture,0.25,43,u_component_of_wind@250hPa,0.19017296533885247,0.23901459742808198,0.14502112273558468,0.18357516881409597,0.9831676198209868,0.9754022181952188,3.4040304028674098,4.278278696760712
OLD_Full,6,moisture,0.25,44,u_component_of_wind@300hPa,0.1965982049199654,0.2573272996138805,0.14854137004017873,0.19806819253196375,0.9809447032747393,0.9685161812087462,3.3485111536426917,4.3828646683266115
OLD_Full,6,moisture,0.25,45,u_component_of_wind@400hPa,0.20041025045255342,0.267685931151648,0.15181842357436848,0.2055107541916552,0.9792949990255545,0.9643060523106957,2.8578336233413215,3.8171790637570884
OLD_Full,6,moisture,0.25,46,u_component_of_wind@500hPa,0.1996338596416839,0.2645970610582609,0.15223829487242996,0.2041618926780731,0.9796876913941651,0.9662774923448972,2.3786429742462962,3.1526813711088715
OLD_Full,6,moisture,0.25,47,u_component_of_wind@600hPa,0.20121548463695743,0.28248703308601614,0.15356583656526368,0.21884174114621535,0.9797939327223018,0.9613920571448014,2.065339365866414,2.899536251653067
OLD_Full,6,moisture,0.25,48,u_component_of_wind@700hPa,0.20964356884237664,0.3093942630139292,0.16046271201969148,0.2392986484751734,0.9783552376289445,0.9537935585895958,1.902565364067327,2.8078265222985572
OLD_Full,6,moisture,0.25,49,u_component_of_wind@850hPa,0.2239251302170809,0.31398136248482245,0.16949148299128405,0.24056611914277543,0.9758123227976643,0.9533646143015816,1.8023756404156561,2.5272392567138335
OLD_Full,6,moisture,0.25,50,u_component_of_wind@925hPa,0.22106600674198126,0.3091134129284845,0.16221285490643514,0.23191634427262525,0.9764207090651841,0.9549300198089474,1.7209525237243977,2.4063831786329533
OLD_Full,6,moisture,0.25,51,u_component_of_wind@1000hPa,0.226182671947937,0.3374541572004997,0.16851757600163209,0.2530391997063964,0.9755070662423889,0.9453538850271832,1.3625013499508485,2.032789426475912
OLD_Full,6,moisture,0.25,52,v_component_of_wind@50hPa,0.3233149742659648,0.3648598615077873,0.25322133036746797,0.28160689393249355,0.9095217619415601,0.8861137477783961,2.3545405489495925,2.657091123808875
OLD_Full,6,moisture,0.25,53,v_component_of_wind@100hPa,0.3224741276582136,0.46655120822729845,0.24921207215873772,0.35450085252649866,0.9393887896741262,0.8691545149533664,2.4397509402767574,3.5297986625136115
OLD_Full,6,moisture,0.25,54,v_component_of_wind@150hPa,0.2757811413260323,0.4333156388422617,0.21050801497421115,0.32724667765016957,0.961950140802049,0.9048338091027791,2.6474030302154676,4.159679306722382
OLD_Full,6,moisture,0.25,55,v_component_of_wind@200hPa,0.24725356685589148,0.36129484491845415,0.18601489005044847,0.27460786710707213,0.9692013261183275,0.9353597611815095,2.9317267315977897,4.283933116947799
OLD_Full,6,moisture,0.25,56,v_component_of_wind@250hPa,0.2364100188799898,0.3138679748408925,0.17788890895251366,0.23885599253420092,0.9696508553000055,0.9501991244589102,3.154335010986408,4.18782913295301
OLD_Full,6,moisture,0.25,57,v_component_of_wind@300hPa,0.2399890068127554,0.31270006462328653,0.18011388060154654,0.23748587778269603,0.9661913573021729,0.9444408809931473,3.193229500613362,4.160703508324949
OLD_Full,6,moisture,0.25,58,v_component_of_wind@400hPa,0.250676292517479,0.31736338370569406,0.1881813886620634,0.23947574547463168,0.9615603638548721,0.9400761866604908,2.806751440132897,3.5534281215981336
OLD_Full,6,moisture,0.25,59,v_component_of_wind@500hPa,0.2527697631516137,0.32169643117280117,0.1906593950231202,0.24536560895853274,0.9614282105362357,0.9410809147506408,2.3150346509703343,2.946311334363164
OLD_Full,6,moisture,0.25,60,v_component_of_wind@600hPa,0.2641458091554181,0.3457827682834956,0.20051014429297295,0.26584683233538997,0.9586466664575132,0.9310623317619376,2.0530482012422215,2.687563783964128
OLD_Full,6,moisture,0.25,61,v_component_of_wind@700hPa,0.2756490274107432,0.3737051231969907,0.20929099411354557,0.28678469404658985,0.9556033325264902,0.9195624042084216,1.8786001177092508,2.546870964030833
OLD_Full,6,moisture,0.25,62,v_component_of_wind@850hPa,0.28778725561579926,0.3804115632364328,0.2152622151520139,0.28666480501086367,0.9524852354619947,0.9185892739767645,1.7759938801376154,2.3475972881273286
OLD_Full,6,moisture,0.25,63,v_component_of_wind@925hPa,0.2738810685023761,0.36415476444470407,0.1991205873564008,0.2671062997473581,0.9589472431222221,0.9293853076585957,1.7415928866501091,2.315637818145731
