model,lead_hours,channel_index,channel,repaired_nrmse,raw_forecast_nrmse,repaired_nmae,raw_forecast_nmae,repaired_acc,raw_forecast_acc,repaired_rmse_phys,raw_forecast_rmse_phys,repaired_mae_phys,raw_forecast_mae_phys
OLD_Full,24,6,geopotential@400hPa,0.05640049083130237,0.06052940549573713,0.04281100241436722,0.045842532419257315,0.9982533234967986,0.9979430926402653,234.85767498260807,252.05092304129363,178.26959204698474,190.8932155923551
OLD_Full,24,7,geopotential@500hPa,0.04862012552734901,0.054868335419459846,0.03603475174160251,0.04044374620651266,0.9986632978163188,0.9983147766786862,163.55024488436388,184.5682127973092,121.21508108340933,136.0462262389276
OLD_Full,24,8,geopotential@600hPa,0.05435508569250662,0.06164446889857704,0.04080255608552632,0.046194819251078156,0.9983217692438409,0.9978517108345849,146.8984142088647,166.5984822521947,110.27175709398561,124.84472607583548
OLD_Full,24,9,geopotential@700hPa,0.06397939139616539,0.07265580057979318,0.04816517903797774,0.05482769318524189,0.9976749153976349,0.9970139851714117,136.75523084919192,155.3009580614094,102.95252894648547,117.19357983046355
OLD_Full,24,10,geopotential@850hPa,0.09079122850096157,0.10186841822787326,0.06761736552103702,0.07621374640964673,0.9952511296563301,0.9940928962447728,133.04975769460663,149.2827949540911,99.08968364113377,111.6872259212111
OLD_Full,24,11,geopotential@925hPa,0.11267055314495893,0.12719328667826335,0.08327768499857606,0.09466006305763776,0.9925610111524292,0.9908190248634549,137.73555673168275,155.48905836387385,101.80386965272979,115.71840378934472
OLD_Full,24,12,geopotential@1000hPa,0.14245560382535877,0.16749940360526963,0.10521155308552098,0.12507325971840685,0.9877433316532388,0.98329895595832,151.8258171922672,178.5169093439945,112.13198718569275,133.30012578098723
OLD_Full,24,13,temperature@50hPa,0.15811809906141805,0.22055120293110142,0.11911468686365567,0.16681278763966934,0.9744423594046904,0.9540025290645633,1.6332914903092601,2.2781984130821566,1.2304031364689676,1.7231038775573295
OLD_Full,24,14,temperature@100hPa,0.1344994276940812,0.1586234151028995,0.10448505415456083,0.1241219400369023,0.9892819325511935,0.9857112218294102,1.6979920367208674,2.0025460428119572,1.3190746856300508,1.5669811405564165
OLD_Full,24,15,temperature@150hPa,0.1662624033728257,0.19257507670251992,0.12562222765468592,0.1456764854191311,0.979522944241556,0.9727791807728569,1.4824701674808416,1.7170857676818558,1.1201041441590773,1.298916903772977
OLD_Full,24,16,temperature@200hPa,0.22280492053431217,0.25479052796642127,0.16055654782662793,0.18694600823753155,0.9559231448929149,0.9428314329581736,1.584453132433014,1.8119153248249447,1.1417805471018132,1.32944636729519
OLD_Full,24,17,temperature@250hPa,0.1659655472760597,0.17820676577306999,0.12003863704042315,0.1295880588394356,0.9848174168490837,0.9829410421577844,1.4032743020119005,1.5067764313112684,1.0149524274886135,1.0956948287018622
OLD_Full,24,18,temperature@300hPa,0.13026445208321574,0.13857000921296272,0.09579030777887669,0.102755230138183,0.9913981231741351,0.9902967195209104,1.3914884951133248,1.480208705018328,1.023234737801568,1.097634225487443
OLD_Full,24,19,temperature@400hPa,0.10351101182417245,0.10735230318885777,0.07811665535195661,0.08100334433980858,0.9943423213921261,0.9939135709729655,1.3161910994063324,1.3650349317818717,0.9932899455267056,1.0299955493342245
OLD_Full,24,20,temperature@500hPa,0.09095641512076898,0.09574492398187119,0.06808141959586358,0.07185069309552508,0.9953781344638074,0.99509188523038,1.1930344919340576,1.2558432094071335,0.8929934407438643,0.942433313695162
OLD_Full,24,21,temperature@600hPa,0.09102607683615832,0.09363851004039125,0.06897538888627504,0.07040230670113257,0.9952319239822983,0.9949831686254286,1.228568428505431,1.2638281371552402,0.9309528461603236,0.9502117962058628
OLD_Full,24,22,temperature@700hPa,0.08735199166794348,0.09026380251236786,0.06560405199793247,0.0669861235849109,0.9952850379120609,0.994962624024943,1.3015518929426595,1.3449381099901012,0.9775057898655976,0.9980987744420348
OLD_Full,24,23,temperature@850hPa,0.1044200129167349,0.11681719565172055,0.0769561307525034,0.08511428915632424,0.9933295798216502,0.991622258913799,1.6377667090829195,1.832209247814136,1.2070118055896482,1.334967739726382
OLD_Full,24,24,temperature@925hPa,0.10371328327993502,0.12375243556738201,0.07398166597084163,0.08613063257385503,0.9934624877564006,0.9906331383945759,1.6775684182100685,2.0017028635224876,1.1966577673264291,1.3931680083959506
OLD_Full,24,25,temperature@1000hPa,0.10349009433924378,0.13447103388334786,0.07402829324701908,0.0944701526699692,0.9933524008071838,0.9887369996216219,1.787097114209223,2.322085009443847,1.2783421421456138,1.6313381374793525
OLD_Full,24,26,specific_humidity@50hPa,0.09962565417001834,0.23685392319275098,0.07229521373047054,0.20969736010143913,0.9354613991127859,0.5962596442152018,9.96256539419769e-08,2.368539221357898e-07,7.229521352188234e-08,2.096973599316016e-07
OLD_Full,24,27,specific_humidity@100hPa,0.2736284554519328,0.43054304669443194,0.18325110537689304,0.32314674785471686,0.9130615735354789,0.7669643316187419,2.736284560020963e-07,4.30543046361851e-07,1.8325110399484235e-07,3.231467510249888e-07
OLD_Full,24,28,specific_humidity@150hPa,0.4909334231958395,0.5597139075191238,0.316685025185962,0.375092705514901,0.9136845898143731,0.8860378265453279,1.8160420208469258e-06,2.0704721263966403e-06,1.1714690574472203e-06,1.387528489670918e-06
OLD_Full,24,29,specific_humidity@200hPa,0.4936248239695188,0.5293023962989056,0.31819684600970577,0.34306419254574605,0.9115912803480136,0.8980250932187046,1.0928002660536155e-05,1.1717842646799869e-05,7.04432960051038e-06,7.594849820787807e-06
OLD_Full,24,30,specific_humidity@250hPa,0.5324666027557183,0.5579563660825159,0.33382939874383893,0.3480168231300348,0.8975123648340253,0.888578419194248,3.8531834152688506e-05,4.037639535500564e-05,2.4157494046316745e-05,2.5184164289991264e-05
OLD_Full,24,31,specific_humidity@300hPa,0.5479730849762757,0.5839767491281074,0.35251163512454037,0.3767056789581119,0.8944835747805868,0.8799327528339235,8.982994789190884e-05,9.573207630739536e-05,5.778769621611782e-05,6.175385669717563e-05
