==============================================================================
ConserveFM unified parallel scheduler
==============================================================================
plan rows       : 2
train rows      : 1
eval rows       : 1
max parallel    : 1
GPU             : 0
smoke           : False
==============================================================================

[STATUS 2026-09-12 07:05:23] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=15% RAMavail=54.9/62.8GiB uEMA=13% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:05:25] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=4% RAMavail=55.0/62.8GiB uEMA=10% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:05:27] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=7% RAMavail=55.2/62.8GiB uEMA=10% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:05:29] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=3% RAMavail=55.2/62.8GiB uEMA=8% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:05:31] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=3% RAMavail=55.0/62.8GiB uEMA=7% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:05:33] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=7% RAMavail=55.2/62.8GiB uEMA=7% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:05:35] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=18% RAMavail=55.2/62.8GiB uEMA=10% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:05:37] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=22% RAMavail=55.0/62.8GiB uEMA=13% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:05:39] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=34% RAMavail=54.8/62.8GiB uEMA=18% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:05:41] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=22% RAMavail=55.1/62.8GiB uEMA=19% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:05:43] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=4% RAMavail=55.1/62.8GiB uEMA=15% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:05:45] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=4% RAMavail=54.9/62.8GiB uEMA=12% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:05:47] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=4% RAMavail=55.8/62.8GiB uEMA=10% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:05:49] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=26% RAMavail=55.0/62.8GiB uEMA=14% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:05:52] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=22% RAMavail=54.6/62.8GiB uEMA=16% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:05:54] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=21% RAMavail=55.2/62.8GiB uEMA=17% next≈1.0GiB admission=ADMIT    
